发票名称,机器编号,发票代码,发票号码,开票日期,校验码,购买方名称,购买方纳税人识别号,购买方地址、电话,购买方开户行及账号,销售方名称,销售方纳税人识别号,销售方地址、电话,销售方开户行及账号,项目名称,车牌号,类型,通行日期起,通行日期止,金额,税率,税额,价税合计（大写）,价税合计（小写）,收款人,复核,开票人
山东增值税电子普通发票,499099649091,037001700112,00476941,2018年03月23日,08385227000109856742,湖北阿深南高速公路发展有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,913701005716756695,山东省济南市高新区奥体中路5006号山东高速科研楼西附楼二层南侧210室0531-8925182,威海市商业银行济南舜耕支行09720201090000000389,*经营租赁*代收通行费,鄂AHG248,货车,20180201,20180212,100W级别交易,不征税,＊＊＊,贰仟陆佰壹拾柒元零伍分,￥2617.05,束曼,束曼,王敏
湖北增值税电子普通发票,499099661823,042001700112,13208805,2018年03月23日,10350711227340909622,湖北阿深南高速公路发展有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,914200007570200387,湖北省大冶市大棋大道6号0711-3706965,工行黄石市杭州路支行1803015719200009617,*经营租赁*通行费,鄂AHG248,货车,20180208,20180208,500W级别交易,3.00%,7.19,贰佰肆拾陆元捌角伍分,￥246.85,戴宗鸿,戴宗鸿,胡朝霞
湖北增值税电子普通发票,499098921515,042001700112,27908343,2018年03月23日,08110641107709826910,湖北阿深南高速公路发展有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,91420200562725281Y,黄石磁湖科技创业服务中心02765371608,工行大冶城中支行1803021229100005578,*经营租赁*通行费,鄂AHG248,货车,20180208,20180208,100W级别交易,3.00%,2.92,壹佰元零贰角伍分,￥100.25,刘为先,刘为先,柯璐
湖北增值税电子普通发票,499098892671,042001700112,47502662,2018年03月23日,08795327402254684486,湖北阿深南高速公路发展有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,91421200052621669E,湖北咸宁市经济开发区0715-8909055,农行咸宁市温泉支行17680501040010328,*经营租赁*通行费,鄂AHG248,货车,20180204,20180204,500W级别交易,3.00%,4.23,壹佰肆拾伍元壹角捌分,￥145.18,孔淳晖,杨宁利,徐金金
湖北增值税电子普通发票,499098892697,042001700112,47153800,2018年03月23日,11808554414702210080,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,91421200553905686B,咸宁市咸安区官埠桥镇桂乡大道300号0715-8909036,中行咸宁分行571657534679,*经营租赁*通行费,鄂AHG248,货车,20180208,20180208,500W级别交易,3.00%,1.1,叁拾柒元捌角伍分,￥37.85,孔淳晖,杨宁利,徐金金
湖北增值税电子普通发票,499099660214,042001700112,47153800,2018年03月23日,12406490987068798034,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,914212025683323743,咸宁市咸安区淦河大道110号02765371608,工行大冶城中支行1803021229100005454,*经营租赁*通行费,鄂AHG248,货车,20180208,20180208,500W级别交易,3.00%,2.01,陆拾玖元零壹分,￥69.01,刘为先,刘为先,柯璐
湖南增值税电子普通发票,499099661882,043001800112,47153800,2018年03月23日,16046901234429288942,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,914300001837784984,湖南省长沙市天心区芙蓉南路二段128号现代广场0731-88749835,中国建设银行长沙和平路支行43001728661052501887,*经营租赁*通行费,鄂AHG248,货车,20180212,20180212,500W级别交易,3.00%,9.92,叁佰肆拾元零伍角捌分,￥340.58,向建梅,向建梅,麻胜新
湖南增值税电子普通发票,499099785543,043001800112,47153800,2018年03月23日,08424113382897776596,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,91430600796857412W,湖南省岳阳市云溪区随岳高速管理中心0730-8466220,中国银行岳阳云溪支行604157360381,*经营租赁*通行费,鄂AHG248,货车,20180212,20180212,2000W级别交易,3.00%,1.11,叁拾捌元零叁分,￥38.03,陈莹,陈莹,任娟
广东增值税电子普通发票,499099656872,044001700112,47153800,2018年03月23日,03696279796705775278,湖北中交嘉通高速公路发展有限公司,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,湖南道岳高速公路实业有限公司,914400006174026084,广东省广州市越秀区竹丝岗大马路10号之一首层自编G号020-82373038,中国银行虎门支行725057753788,*经营租赁*通行费,鄂AHG248,货车,20180202,20180202,2000W级别交易,3.00%,2.23,柒拾陆元陆角陆分,￥76.66,黄绍芬,黄绍芬,徐晓丹
广东增值税电子普通发票,499098893067,044001700112,47153800,2018年03月23日,16699845128671790777,山东高速集团有限公司电子收费中心,914201007483062457,武汉经济技术开发区车城大道7号84289348,中国农业银行股份有限公司武汉开发区支行17-071201040004598,现代投资股份有限公司,914400007076854103,广州市萝岗区萝岗街广惠高速公路管理中心020-83936338,中国银行股份有限公司广州荔湾支行686057735753,*经营租赁*通行费,鄂AHG248,货车,20180209,20180209,500W级别交易,3.00%,2.32,柒拾玖元伍角玖分,￥79.59,李佳,吴少文,张帆
